,title,beds,bath,adress,price,area
99,New With A View – 2000 Sq Ft Apartment For Rent In South Khulshi,3.0,3.0,"viphousingsociety,southkhulshi,khulshi,chattogram",35000.0,2000
100,"Get Ready To Rent This Ideally Maintained 2000 Sq Ft Apartment Located In VIP Housing Society, South Khulshi",3.0,3.0,"viphousingsociety,southkhulshi,khulshi,chattogram",35000.0,2000
101,"This Comfortable And Beautiful Apartment Of 2000 Sq Ft In VIP Housing Society, South Khulshi Is Up For Rent",3.0,3.0,"viphousingsociety,southkhulshi,khulshi,chattogram",35000.0,2000
102,"Grab This Nice 1600 Sq Ft Flat In South Khulshi, To Fulfill Your Desire",3.0,3.0,"paharikaresidentialarea,southkhulshi,khulshi,chattogram",23000.0,1600
103,For Rental Purpose 2600 Sq Ft Flat Is Now Up For Rent In Gulshan Close To Shahabuddin Medical College Hospital,3.0,3.0,"gulshan,gulshan,dhaka",100000.0,2600
104,"Smartly Priced 750 Sq Ft Apartment, That You Should Check In Katashur",2.0,2.0,"katashur,mohammadpur,dhaka",16000.0,750
105,Spaciously Designed And Strongly 2115 Sq. Ft Apartment Is Now Vacant For Rent In South Khulshi,3.0,3.0,"zakirhossainhousingsociety,southkhulshi,khulshi,chattogram",100000.0,2115
106,"Flat up for rent in Gulshan 2 area, near Manarat International University, of 3600 SQ FT is available and open for new tenants to move in",5.0,5.0,"gulshan,gulshan,dhaka",200000.0,3600
107,3200 Sq Ft Apartment For Rent At Gulshan 1,4.0,4.0,"gulshan,gulshan,dhaka",250000.0,3200
108,Avail An Exclusive Home Experience In This 3150 Sq Ft Flat For Rent In Uttara Sector 4,4.0,4.0,"uttara,dhaka",100000.0,3150
109,"Ease Up Your Life By Renting This 700 Sq Ft Flat In Mohammadpur, Pc Culture Housing",2.0,2.0,"pcculturehousing,mohammadpur,dhaka",15000.0,700
110,1350 Square Feet Apartment With A Calm Environment Is For Rent In Mirpur-11,3.0,3.0,"section,mirpur,dhaka",25000.0,1350
111,"In The Suitable Location Of Uttara 13, An Eye-catching Flat Of 2100 Sq Ft Is Up For Rent",4.0,4.0,"roadno,uttara,dhaka",60000.0,2100
112,1319 Sq Ft Flat Is Situated At Bashundhara R/a Near Ebenzer International School Which Is Waiting For Being Rented,3.0,4.0,"bashundharar-a,dhaka",26000.0,1319
113,1676 Square Feet Residential Apartment With 3 Bedrooms For Rent In Uttara-4,3.0,3.0,"uttara,dhaka",35000.0,1676
